FsmIdf;CrdLatDeg;CrdLonDeg
2065;40.78364386;-73.96673089
1294;40.78318228;-73.96740108
778;40.78239264;-73.96883088
2132;40.78219427;-73.96921092
947;40.78219427;-73.96921092
2108;40.78211416;-73.96923095
304;40.78202261;-73.96924096
1948;40.78205313;-73.96931106
1309;40.78205313;-73.96938091
175;40.7820455;-73.96946102
1386;40.78198446;-73.96953088
148;40.7819425;-73.96953088
1813;40.78191198;-73.96949106
2133;40.78187384;-73.9695211
1674;40.78186239;-73.96957093
2073;40.78186239;-73.96957093
2134;40.78183188;-73.96965104
245;40.78183188;-73.96968108
1607;40.78182425;-73.96984106
1608;40.78184332;-73.96981102
634;40.78177466;-73.96989089
246;40.78173269;-73.9698711
661;40.78169455;-73.96989089
244;40.78170218;-73.96992093
311;40.78165258;-73.96996098
630;40.78170218;-73.96998101
664;40.78172506;-73.9700709
1479;40.78169455;-73.9700709
312;40.78156485;-73.97023087
640;40.78134359;-73.97066098
377;40.78125204;-73.97076088
1501;40.78115286;-73.97080093
2135;40.78104223;-73.97107106
2136;40.78096212;-73.97126108
2137;40.78096212;-73.97127109
2138;40.78101553;-73.97131091
111;40.78087439;-73.97114092
1090;40.7808248;-73.97098094
1572;40.78066458;-73.97082096
112;40.7805654;-73.97070104
477;40.78047384;-73.97062093
1095;40.78031363;-73.97053104
2118;40.78028311;-73.97055107
2119;40.7803327;-73.97036105
1098;40.7803327;-73.97036105
1100;40.78041281;-73.97031098
571;40.78041281;-73.97029096
6;40.78027548;-73.97017103
1660;40.7805654;-73.96985107
1857;40.78063406;-73.96976095
861;40.78054251;-73.97042089
673;40.78043188;-73.97019106
74;40.78052343;-73.97037106
1225;40.78048529;-73.97030097
1438;40.78043188;-73.9699009
1276;40.78047384;-73.9699009
5;40.78044333;-73.96988088
1012;40.7805654;-73.96942097
2140;40.78052343;-73.96936088
932;40.78052343;-73.96919089
1015;40.78045477;-73.96930104
702;40.7804624;-73.96931106
2141;40.7804624;-73.96893102
1016;40.78051199;-73.96884089
1340;40.78051199;-73.96876102
1625;40.78055395;-73.9686411
1895;40.78088202;-73.96831089
1446;40.78093542;-73.96809107
2142;40.7810346;-73.96784097
876;40.78083242;-73.96791106
707;40.78096212;-73.96788102
1201;40.78119482;-73.96758109
2143;40.78117193;-73.967341
2144;40.7811643;-73.96715098
58;40.78112234;-73.96703106
500;40.78125204;-73.96723109
1631;40.78125204;-73.96658092
687;40.78134359;-73.96665102
352;40.78134359;-73.96664101
1667;40.78152289;-73.96644097
65;40.78157248;-73.96635109
1349;40.78165258;-73.96632105
1350;40.7820455;-73.96592098
2316;40.78228201;-73.96423107
2317;40.78258337;-73.96447092
2318;40.78266348;-73.96464091
2319;40.782694;-73.96465093
2320;40.78361334;-73.96596104
2321;40.7836553;-73.96596104
2322;40.78362478;-73.96654087
1025;40.78366293;-73.96660095
372;40.78359427;-73.96664101
379;40.78351416;-73.96683102
2171;40.78350271;-73.96694094
534;40.78350271;-73.96703106
2323;40.78336538;-73.96702104
2324;40.78341497;-73.96701103
2325;40.78332342;-73.96704107
1292;40.78318228;-73.96725088
2326;40.78310217;-73.96728092
2327;40.78309454;-73.967341
2328;40.78318228;-73.96748095
2329;40.78312506;-73.96742087
2330;40.78298391;-73.96763092
2331;40.78300299;-73.9677909
970;40.78296484;-73.96783095
1788;40.78283514;-73.96810108
1733;40.78278174;-73.96811109
2332;40.78274359;-73.96813088
2333;40.78264441;-73.96837097
2211;40.78240408;-73.96865087
609;40.78237356;-73.968741
441;40.78238501;-73.9686709
105;40.78228201;-73.96896106
897;40.78233542;-73.96908098
2334;40.78232397;-73.96908098
1809;40.78224386;-73.96901089
2335;40.78215231;-73.96904093
2295;40.78223242;-73.96921092
2336;40.78229345;-73.96919089
2066;40.7823049;-73.96920091
1597;40.78213324;-73.96919089
1388;40.78216375;-73.96917086
2337;40.78219427;-73.96926099
2108;40.7820455;-73.96921092
304;40.78209509;-73.96925097
173;40.78212179;-73.96932107
1048;40.78206457;-73.96924096
1425;40.78202261;-73.96930104
279;40.78197302;-73.96925097
1208;40.78208365;-73.96932107
985;40.78208365;-73.96938091
103;40.78188528;-73.96933108
522;40.78197302;-73.9693709
553;40.78197302;-73.96945101
519;40.78199209;-73.96942097
1069;40.78193487;-73.96958094
2338;40.78193487;-73.96958094
148;40.78178228;-73.96953088
1914;40.78186239;-73.96949106
802;40.78183188;-73.96963101
1699;40.78185476;-73.96977096
1604;40.78185476;-73.96989089
2339;40.78162207;-73.9697209
2340;40.78163351;-73.96973091
345;40.78175177;-73.9699009
634;40.78171362;-73.9699009
554;40.78163351;-73.96984106
1430;40.78164496;-73.96994096
2341;40.78174414;-73.9698711
2113;40.78166403;-73.9698711
630;40.78172506;-73.97002107
945;40.78174414;-73.97026091
631;40.78174414;-73.9702509
330;40.78166403;-73.97010094
906;40.78154196;-73.97014099
1431;40.78153433;-73.97030097
312;40.78149237;-73.97043091
194;40.78148474;-73.97043091
2342;40.78138174;-73.97030097
108;40.78128256;-73.97049099
635;40.78140463;-73.97043091
697;40.78141226;-73.97068101
2343;40.78147329;-73.97065097
1557;40.78127493;-73.97061091
560;40.78135504;-73.97073108
2344;40.78134359;-73.97075086
1322;40.78133215;-73.97077089
2157;40.78118338;-73.97068101
2345;40.78127493;-73.97084099
640;40.78127493;-73.97084099
994;40.78123297;-73.97066098
1085;40.78115286;-73.97078091
2346;40.78122534;-73.97084099
319;40.78120245;-73.97069102
2347;40.78118338;-73.97071105
2348;40.78119482;-73.97094088
2349;40.78109182;-73.97106105
666;40.78111471;-73.97096091
2350;40.78104223;-73.97104102
920;40.78091253;-73.97131091
2351;40.78096212;-73.97141105
1564;40.78076376;-73.97127109
1745;40.7807752;-73.97143107
1178;40.78080191;-73.9711011
111;40.7808248;-73.97117096
1853;40.78063406;-73.97106105
2043;40.78061499;-73.97094088
1617;40.78041281;-73.97101098
1655;40.78049292;-73.97088104
1094;40.78057303;-73.97096091
699;40.78054251;-73.97082096
1092;40.78057303;-73.97083097
1795;40.7805654;-73.97082096
477;40.78049292;-73.97083097
10;40.78044333;-73.97080093
1096;40.78045477;-73.97054106
1209;40.78027548;-73.97066098
1772;40.78038229;-73.97052103
862;40.78037466;-73.97051102
1683;40.78027548;-73.9705711
2352;40.78041281;-73.97047096
1569;40.78037466;-73.97068101
474;40.7803327;-73.97051102
1099;40.78024496;-73.97045093
6;40.78021444;-73.97037106
571;40.78031363;-73.97033101
119;40.78035177;-73.97027093
475;40.78041281;-73.97023087
1003;40.78040518;-73.97023087
2221;40.78043188;-73.970151
72;40.78044333;-73.96994096
1708;40.78044333;-73.96989089
1005;40.78050436;-73.96999102
159;40.78047384;-73.96986109
674;40.78058447;-73.96988088
929;40.78067221;-73.96979099
1657;40.78061499;-73.96994096
572;40.7805921;-73.97005087
819;40.78067221;-73.97005087
754;40.7806951;-73.97013098
861;40.78071417;-73.97023087
12;40.78058447;-73.9702211
74;40.78065313;-73.97024089
11;40.78045477;-73.97023087
1567;40.7806455;-73.9702509
41;40.78047384;-73.97030097
2353;40.78041281;-73.97037106
2354;40.78039373;-73.970321
480;40.78039373;-73.96994096
1108;40.78040518;-73.9698711
1658;40.78044333;-73.96985107
1573;40.78049292;-73.9697209
1659;40.78047384;-73.96967107
2355;40.78045477;-73.96967107
2201;40.78044333;-73.96971088
2027;40.78034414;-73.96967107
889;40.78043188;-73.9693411
932;40.78049292;-73.969271
702;40.78062262;-73.96933108
2356;40.78060354;-73.96932107
2357;40.78035177;-73.96933108
1015;40.78038229;-73.96925097
1496;40.78042425;-73.96922093
957;40.78045477;-73.96898108
485;40.78037466;-73.96881109
935;40.78037466;-73.96881109
576;40.78061499;-73.96870094
1236;40.78053488;-73.96891099
1189;40.78049292;-73.96883088
2358;40.78061499;-73.96883088
1018;40.78053488;-73.968571
1625;40.78058447;-73.96854096
2004;40.78062262;-73.96842104
2359;40.78070273;-73.96841102
2360;40.78074469;-73.96816092
2310;40.78087439;-73.96808105
1926;40.7808248;-73.96816092
1446;40.78087439;-73.96807104
527;40.7808248;-73.96795088
2269;40.78080191;-73.96801096
1782;40.7807752;-73.9677611
1800;40.78098501;-73.96773106
137;40.78104223;-73.96746093
1468;40.78107275;-73.96721106
58;40.78111471;-73.96722108
757;40.78111471;-73.967341
823;40.78107275;-73.96715098
399;40.78135504;-73.96695095
2361;40.78134359;-73.96696096
2362;40.78141226;-73.96686107
2363;40.78117193;-73.96689087
1117;40.78118338;-73.9667409
352;40.78137411;-73.96675092
1348;40.781294;-73.96663099
2364;40.78136267;-73.96661096
1450;40.78153433;-73.96660095
1667;40.78140463;-73.96647101
2277;40.78150381;-73.96620088
65;40.78137411;-73.9663611
1192;40.78162207;-73.96631103
2365;40.78164496;-73.96633106
1802;40.78165258;-73.96634107
2366;40.78150381;-73.96651107
2367;40.78164496;-73.96648103
1718;40.78165258;-73.966461
2368;40.78165258;-73.96634107
1581;40.78162207;-73.96644097
2369;40.78171362;-73.966461
2370;40.78150381;-73.96641093
2371;40.7816831;-73.96641093
2313;40.78167547;-73.96641093
1350;40.78183188;-73.96625095
2372;40.78184332;-73.96623093
1964;40.78184332;-73.96591097
2373;40.78189291;-73.96587091
1125;40.78195395;-73.96579104
2374;40.78184332;-73.96574098
2375;40.78182425;-73.96581107
1582;40.78192343;-73.96567088
2376;40.78216375;-73.9653309
2283;40.78239264;-73.96475106
2377;40.78258337;-73.96461087
2378;40.78253378;-73.9646011
2379;40.78253378;-73.96447092
2380;40.7823049;-73.964181
2381;40.78366293;-73.96640092
2170;40.78369345;-73.96662098
373;40.78358282;-73.96670109
2169;40.78357519;-73.96672088
2382;40.78358282;-73.96672088
725;40.78357519;-73.96672088
1142;40.78339209;-73.96698099
1672;40.7833425;-73.96708089
1353;40.78335394;-73.96707087
1641;40.78322424;-73.96736103
2383;40.78313269;-73.96736103
1839;40.78317465;-73.96735102
409;40.78312506;-73.96730095
2384;40.78313269;-73.96731096
761;40.78310217;-73.9674409
1293;40.78310217;-73.9674409
1294;40.78312506;-73.96742087
2385;40.78309454;-73.96742087
1147;40.7830831;-73.96743089
2386;40.7830831;-73.96743089
93;40.78310217;-73.96762091
2387;40.78309454;-73.96764093
1247;40.78311361;-73.96761089
602;40.78302206;-73.96771103
374;40.78301443;-73.96771103
1151;40.78300299;-73.96778088
2232;40.78297247;-73.9677611
970;40.78293432;-73.96784097
2388;40.78285421;-73.96796089
2149;40.78263296;-73.96822101
2389;40.78262533;-73.968391
2390;40.78262533;-73.968391
1262;40.78235449;-73.96869093
609;40.78234304;-73.96880108
2391;40.78233542;-73.96876102
2211;40.78234304;-73.96875101
1052;40.78234304;-73.96870094
1941;40.78234304;-73.96886092
2392;40.78234304;-73.96893102
105;40.78224386;-73.9689911
2393;40.78224386;-73.9689911
2394;40.78221335;-73.96906095
897;40.78222479;-73.96909099
1302;40.78221335;-73.96909099
649;40.78213324;-73.9689911
2395;40.78218283;-73.96903091
947;40.78210272;-73.96928101
304;40.78201498;-73.96918088
1390;40.78200354;-73.96919089
173;40.78216375;-73.96926099
103;40.78210272;-73.9693411
2252;40.78205313;-73.969271
1208;40.78205313;-73.96929103
554;40.78198446;-73.96956092
2396;40.78198446;-73.96947103
148;40.78193487;-73.9695211
634;40.78184332;-73.96993094
1466;40.78176321;-73.96989089
1814;40.78172506;-73.96996098
345;40.78170218;-73.96986109
2255;40.78172506;-73.96981102
630;40.78167547;-73.97008091
330;40.78164496;-73.97013098
1549;40.78147329;-73.97016102
1252;40.78153433;-73.97028094
187;40.78154196;-73.97031098
906;40.78147329;-73.97023087
697;40.78134359;-73.97064095
1557;40.78133215;-73.97069102
1288;40.78133215;-73.97070104
1175;40.78119482;-73.9706009
2157;40.78119482;-73.9706009
640;40.78131308;-73.97079092
641;40.78127493;-73.97076088
2346;40.78120245;-73.97090107
319;40.78117193;-73.97084099
2148;40.78107275;-73.97108107
1614;40.78088202;-73.97102099
2397;40.78113379;-73.9711011
750;40.78094305;-73.971551
1572;40.78054251;-73.97082096
1095;40.78044333;-73.97073108
477;40.78047384;-73.97070104
1683;40.78031363;-73.9705711
2223;40.78024496;-73.97051102
1099;40.78024496;-73.970501
2398;40.78030218;-73.97036105
719;40.78031363;-73.97034102
571;40.78035177;-73.97029096
1569;40.78032507;-73.97031098
475;40.7803327;-73.97023087
72;40.78036322;-73.97023087
77;40.78042425;-73.97002107
205;40.78050436;-73.96991092
928;40.7804624;-73.96985107
1685;40.78063406;-73.96978098
572;40.78068365;-73.96995097
861;40.7807218;-73.97006088
12;40.78057303;-73.97039109
5;40.78057303;-73.97040087
2305;40.7805654;-73.97040087
1003;40.78044333;-73.97028094
1712;40.78052343;-73.97048097
41;40.78045477;-73.97039109
2354;40.78039373;-73.97029096
480;40.78041281;-73.9699009
2399;40.78037466;-73.96980101
2400;40.78039373;-73.96983105
483;40.78048529;-73.96977096
1011;40.78049292;-73.96965104
1659;40.78045477;-73.96966105
1009;40.78051199;-73.96965104
2401;40.78055395;-73.96967107
1333;40.78052343;-73.96943098
1012;40.78055395;-73.96942097
889;40.78045477;-73.96938091
1440;40.78045477;-73.96932107
702;40.78050436;-73.96938091
1504;40.78051199;-73.9693709
1495;40.78045477;-73.96924096
1015;40.78043188;-73.96915108
2402;40.78040518;-73.96914106
1235;40.78053488;-73.96886092
1577;40.78048529;-73.96880108
1663;40.78049292;-73.96879106
2403;40.78050436;-73.96882087
576;40.78053488;-73.96879106
2358;40.78053488;-73.96868091
871;40.78054251;-73.96860104
1189;40.78057303;-73.96861106
2269;40.78094305;-73.96792107
876;40.78091253;-73.96784097
682;40.78098501;-73.9677611
1782;40.78096212;-73.96778088
707;40.78108419;-73.96778088
877;40.78107275;-73.9674409
2143;40.78112234;-73.96733099
2130;40.78104223;-73.96724087
757;40.78114523;-73.96722108
58;40.78112234;-73.96718102
2404;40.78118338;-73.96731096
823;40.78110327;-73.96710091
1448;40.78111471;-73.96711093
499;40.78122534;-73.96707087
399;40.78126349;-73.96693092
1117;40.78134359;-73.96694094
352;40.78141226;-73.96659094
1631;40.78138174;-73.96655088
65;40.78148474;-73.96627098
2277;40.78170218;-73.96640092
2405;40.78166403;-73.96620088
2095;40.78167547;-73.96615106
1125;40.78193487;-73.96577102
1719;40.7819425;-73.96575099
2406;40.78240408;-73.9648109
1025;40.78369345;-73.96667105
379;40.78356375;-73.96676093
2407;40.78356375;-73.96688109
1590;40.78352179;-73.96702104
2408;40.78349508;-73.96695095
2409;40.78349508;-73.96695095
2410;40.78341497;-73.96696096
405;40.78336538;-73.96703106
1292;40.78335394;-73.9670611
2325;40.7832929;-73.96715098
2411;40.78320517;-73.96730095
761;40.78318228;-73.96750098
2412;40.78318228;-73.96751099
1294;40.78315176;-73.96742087
1354;40.78315176;-73.9674111
1293;40.78313269;-73.96751099
2387;40.78315176;-73.96758109
2413;40.78309454;-73.96753102
93;40.78311361;-73.96752101
764;40.78304495;-73.96756106
325;40.78300299;-73.96770101
1151;40.78300299;-73.96773106
970;40.78296484;-73.96780091
2414;40.78289236;-73.96780091
2415;40.78291525;-73.96786099
1642;40.7829534;-73.96787101
1606;40.78290381;-73.96793109
2416;40.78272451;-73.96815091
2389;40.78272451;-73.96815091
2417;40.78236212;-73.9686709
2418;40.78232397;-73.96868091
2419;40.78235449;-73.96876102
1477;40.78240408;-73.96870094
2294;40.78223242;-73.96904093
173;40.78206457;-73.96924096
1250;40.78202261;-73.9693411
554;40.78196539;-73.96946102
1466;40.78179373;-73.96992093
802;40.78179373;-73.96980101
634;40.78172506;-73.96992093
1677;40.78165258;-73.96989089
630;40.78163351;-73.97002107
2420;40.78164496;-73.97002107
662;40.78163351;-73.96992093
2421;40.78157248;-73.97002107
267;40.78151526;-73.97006088
194;40.78140463;-73.97029096
108;40.78143515;-73.97046095
156;40.78133215;-73.97040087
2422;40.78137411;-73.97044092
2423;40.78137411;-73.97045093
560;40.78134359;-73.97078091
462;40.78134359;-73.97076088
1175;40.78132452;-73.97061091
1322;40.78124441;-73.97069102
640;40.78127493;-73.97070104
319;40.78125204;-73.97079092
2424;40.78118338;-73.97089105
1653;40.78100409;-73.97094088
1564;40.78101553;-73.97104102
2199;40.7809545;-73.97136098
2301;40.78101553;-73.97121101
2425;40.78085531;-73.9711011
258;40.7808248;-73.97098094
1089;40.78078283;-73.97105103
998;40.78074469;-73.97098094
1093;40.78062262;-73.97078091
2426;40.78053488;-73.97077089
2184;40.78048529;-73.97090107
2427;40.7804624;-73.97074109
477;40.78044333;-73.97062093
2428;40.78040518;-73.97036105
1656;40.78039373;-73.9706009
2429;40.78036322;-73.97061091
569;40.78032507;-73.97044092
719;40.78029455;-73.97036105
45;40.78027548;-73.9702211
119;40.78030218;-73.97033101
571;40.78031363;-73.97034102
205;40.7804624;-73.97031098
2048;40.78045477;-73.97027093
72;40.78049292;-73.97006088
480;40.78051199;-73.96988088
1708;40.78044333;-73.96985107
159;40.78048529;-73.96981102
572;40.78060354;-73.969971
861;40.78057303;-73.97021109
77;40.78055395;-73.97011095
2016;40.78052343;-73.97033101
475;40.78035177;-73.97020107
1712;40.7805654;-73.97038108
41;40.78049292;-73.97034102
207;40.78044333;-73.9698711
483;40.78049292;-73.96976095
1232;40.78048529;-73.96985107
2430;40.78047384;-73.96968108
2431;40.78051199;-73.9695509
2027;40.78052343;-73.96951109
208;40.78044333;-73.96957093
2432;40.78044333;-73.96957093
1338;40.78049292;-73.96933108
889;40.78050436;-73.96946102
574;40.78050436;-73.96926099
1184;40.78050436;-73.9693709
127;40.78051199;-73.96936088
2433;40.78044333;-73.96908098
1337;40.78048529;-73.96907097
1279;40.78041281;-73.96903091
1861;40.78042425;-73.96903091
1663;40.78045477;-73.96888095
485;40.78043188;-73.96896106
2434;40.78048529;-73.96885091
1189;40.7805921;-73.96875101
1280;40.78066458;-73.96846109
2435;40.78065313;-73.96848088
1687;40.78067221;-73.96843105
2436;40.78083242;-73.96820098
487;40.78083242;-73.96820098
2191;40.78084387;-73.96818095
1865;40.78087439;-73.96805101
1446;40.78078283;-73.96801096
2437;40.78092398;-73.96801096
492;40.78101553;-73.96773106
1960;40.7809049;-73.9677909
1578;40.78109182;-73.96783095
2438;40.78101553;-73.96778088
1514;40.78109182;-73.96775108
2439;40.78100409;-73.96742087
2440;40.78108419;-73.96745091
58;40.78114523;-73.96718102
823;40.78114523;-73.96719104
399;40.78117193;-73.96710091
1117;40.78120245;-73.96704107
940;40.78121389;-73.96710091
162;40.78130545;-73.96694094
1631;40.78130545;-73.96684104
1516;40.78146185;-73.96642095
65;40.78146185;-73.9663611
1870;40.78147329;-73.9663611
2277;40.78158392;-73.96644097
1192;40.78158392;-73.96644097
1120;40.78158392;-73.96648103
1718;40.7816831;-73.96634107
2441;40.78170218;-73.96634107
1453;40.78185476;-73.96593099
2150;40.78186239;-73.9658609
1583;40.7821752;-73.96544104
2442;40.78208365;-73.96518093
2151;40.78319372;-73.9674111
2413;40.78307547;-73.96763092
2669;40.78272451;-73.96820098
1693;40.78261389;-73.968391
441;40.78235449;-73.96885091
896;40.78233542;-73.96890098
2335;40.78227438;-73.96886092
1597;40.78218283;-73.96908098
2670;40.78215231;-73.96911102
2671;40.78212179;-73.96912104
2334;40.78212179;-73.96925097
2658;40.78212179;-73.96924096
1051;40.78212179;-73.96916109
1245;40.78215231;-73.96922093
103;40.78212179;-73.96926099
1250;40.78212179;-73.96920091
304;40.78213324;-73.96911102
1208;40.78201498;-73.96922093
2672;40.78201498;-73.96930104
1948;40.78199209;-73.96940094
175;40.78197302;-73.96940094
1309;40.78196539;-73.96944099
2627;40.78186239;-73.96953088
2252;40.78187384;-73.96950107
2126;40.78196539;-73.96945101
553;40.78192343;-73.96945101
625;40.78187384;-73.96981102
2673;40.78182425;-73.96975094
1606;40.78182425;-73.96981102
2674;40.78172506;-73.96979099
2339;40.78169455;-73.96985107
330;40.78179373;-73.96984106
634;40.78169455;-73.969971
307;40.78169455;-73.96996098
2602;40.78169455;-73.96995097
245;40.78170218;-73.96995097
907;40.78166403;-73.96991092
1396;40.78167547;-73.96992093
1466;40.78167547;-73.96993094
2675;40.78167547;-73.96993094
631;40.78167547;-73.97006088
2420;40.7816831;-73.97005087
2676;40.78160299;-73.96999102
2257;40.78160299;-73.96999102
945;40.78164496;-73.97012096
2642;40.78163351;-73.97017103
2677;40.78154196;-73.970151
1610;40.78162207;-73.97021109
2072;40.78162207;-73.97019106
841;40.78158392;-73.97023087
2678;40.78135504;-73.97041088
1499;40.78139319;-73.97035104
635;40.78143515;-73.97039109
1082;40.78138174;-73.97047096
2679;40.78131308;-73.97055107
1952;40.78132452;-73.97066098
1322;40.78133215;-73.97083097
2680;40.78111471;-73.97065097
2565;40.78122534;-73.97078091
2681;40.78118338;-73.97078091
2517;40.78117193;-73.97083097
2682;40.78110327;-73.97076088
111;40.7810346;-73.97102099
562;40.78099264;-73.97115093
2083;40.78098501;-73.97121101
1616;40.78086294;-73.97122103
258;40.78084387;-73.97112089
2494;40.78071417;-73.97124105
1565;40.78074469;-73.9711011
2683;40.78066458;-73.97088104
1818;40.78066458;-73.97089105
2647;40.78052343;-73.97098094
1850;40.78052343;-73.97103101
858;40.7805654;-73.9709509
1572;40.78075232;-73.9709211
2219;40.78055395;-73.97082096
2218;40.78042425;-73.97068101
1989;40.78054251;-73.9705711
477;40.78050436;-73.97055107
2684;40.78051199;-73.97059089
1180;40.78043188;-73.97063094
1707;40.78038229;-73.97042089
812;40.78039373;-73.97040087
571;40.78038229;-73.97038108
1920;40.78035177;-73.97029096
2120;40.78035177;-73.970321
6;40.78043188;-73.97035104
475;40.78043188;-73.97033101
2354;40.78047384;-73.97033101
43;40.78037466;-73.97010094
2221;40.78039373;-73.97004109
1276;40.78052343;-73.97001105
77;40.78060354;-73.97010094
1657;40.78057303;-73.96986109
2685;40.78060354;-73.969971
819;40.78068365;-73.97020107
1005;40.78070273;-73.97020107
1888;40.7805921;-73.97018104
2353;40.78054251;-73.97031098
41;40.78055395;-73.97040087
1003;40.78054251;-73.97039109
861;40.78051199;-73.97047096
1225;40.78043188;-73.97026091
2686;40.78041281;-73.97034102
2687;40.78037466;-73.97001105
1230;40.78032507;-73.969971
1004;40.78041281;-73.96984106
865;40.78042425;-73.96985107
1685;40.78040518;-73.96981102
1890;40.78038229;-73.96983105
5;40.7804624;-73.96980101
1011;40.7805921;-73.96953088
1495;40.78045477;-73.96931106
702;40.78054251;-73.9693411
889;40.78052343;-73.96939093
952;40.78055395;-73.96928101
1339;40.7804624;-73.96924096
126;40.78044333;-73.96919089
1184;40.78044333;-73.96919089
1860;40.7804624;-73.96905094
2190;40.7804624;-73.96905094
2688;40.78042425;-73.96897107
1663;40.78044333;-73.96882087
1016;40.7804624;-73.96885091
722;40.78054251;-73.96881109
576;40.78060354;-73.96872097
1625;40.78053488;-73.9684909
2689;40.7806455;-73.96858102
2690;40.78066458;-73.9684909
2204;40.78068365;-73.96842104
579;40.78079428;-73.96815091
2224;40.78084387;-73.96812087
2691;40.78088202;-73.96822101
