lat;long;formatted_address
-29 977301;-51 1910078;Av. A. J. Renner, 2315 - Farrapos, Porto Alegre - RS, Brazil
-30 0877153;-51 2180002;R. Erechim, 626 - Nonoai, Porto Alegre - RS, Brazil
NA;NA;NA
-30 0208631;-51 1832478;Praça Alberto Ramos, 812 - Higienópolis, Porto Alegre - RS, 90520-050, Brazil
-30 0524393;-51 1942458;Av. Ipiranga, 4001 - Partenon, Porto Alegre - RS, 90610-001, Brazil
-30 0348591;-51 1771258;Av. Carlos Gomes, 1610 - Três Figueiras, Porto Alegre - RS, 90480-001, Brazil
-30 0585993;-51 1673513;R. Frei Germano, 275 - Partenon, Porto Alegre - RS, 91530-060, Brazil
-30 0283043;-51 2036812;R. Mostardeiro, 366 - Independência, Porto Alegre - RS, 90430-001, Brazil
-30 038602;-51 1765426;Av. Iguaçu, 463 - Petrópolis, Porto Alegre - RS, 90470-430, Brazil
-30 0246214;-51 2093253;R. Gen. Neto, 71 - Floresta, Porto Alegre - RS, 90560-020, Brazil
-30 0532598;-51 2142749;Av. da Azenha, 1067 - Azenha, Porto Alegre - RS, 90160-006, Brazil
-30 0177603;-51 1993049;Av. Cristóvão Colombo, 2162 - Floresta, Porto Alegre - RS, 90560-002, Brazil
-30 0177603;-51 1993049;Av. Cristóvão Colombo, 2162 - Floresta, Porto Alegre - RS, 90560-002, Brazil
-30 0812334;-51 2101274;Av. Engenheiro Ludolfo Boehl, 205 - Teresópolis, Porto Alegre - RS, 91720-150, Brazil
-30 0080293;-51 197454;Av. Maranhão, 710 - São Geraldo, Porto Alegre - RS, 90230-040, Brazil
-30 0159787;-51 1461819;R. Tunísia, 285 - Vila Ipiranga, Porto Alegre - RS, 91370-290, Brazil
-30 0317424;-51 2282956;R. Riachuelo, 1343 - Centro Histórico, Porto Alegre - RS, 90010-273, Brazil
-30 0842446;-51 2465905;0x951978a0d63d500d:0x15716d4550ce8aad - Av. Diário de Notícias, 200 - Cristal, Porto Alegre - RS, Brazil
-30 029782;-51 234978;R. Siqueira Campos, 688 - Centro, Porto Alegre - RS, 90010-000, Brazil
-30 0240225;-51 2165522;R. Voluntários da Pátria, 1089 - Centro Histórico, Porto Alegre - RS, Brazil
-30 0228781;-51 2004674;R. Tobias da Silva, 137 - Moinhos de Vento, Porto Alegre - RS, 90570-020, Brazil
-30 0404763;-51 1590279;Av. Gen. Barreto Viana, 25 - Chácara das Pedras, Porto Alegre - RS, 91330-630, Brazil
-30 0298722;-51 2256283;R. dos Andradas, 1593 - Centro Histórico, Porto Alegre - RS, 90010-140, Brazil
-30 0602364;-51 1742839;Faculdade de Engenharia da Pontifícia Universidade Católica do Rio Grande do Sul - Prédio 30, Av. Ipiranga, 6681 - Partenon, Porto Alegre - RS, Brazil
