lat;long;formatted_address
-30 0306302;-51 2236249;Rua Professor Annes Dias, 112 - Centro Histórico, Porto Alegre - RS, 90020-090, Brazil
-30 0293726;-51 224566;Rua Doutor Flores, 240 - Centro, Porto Alegre - RS, 90020-122, Brazil
-30 017982;-51 1911853;Av. Cristóvão Colombo, 2937 - Floresta, Porto Alegre - RS, Brazil
-30 0301062;-51 2244968;Rua Doutor Flores, 330 - Centro Histórico, Porto Alegre - RS, 90020-122, Brazil
-30 0701255;-51 2297811;R. Disnard, 75 - Santa Tereza, Porto Alegre - RS, 90850-030, Brazil
-30 0430095;-51 1895797;Av. Protásio Alves, 1959 - Petrópolis, Porto Alegre - RS, Brazil
-30 029534;-51 2265639;R. Mal. Floriano Peixoto, 94 - Centro, Porto Alegre - RS, 90020-060, Brazil
-30 029976;-51 204865;Rua Dona Laura, 87 - Rio Branco, Porto Alegre - RS, 90430-091, Brazil
-30 0253955;-51 2034903;R. Padre Chagas, 185 - Moinhos de Vento, Porto Alegre - RS, 90570-080, Brazil
NA;NA;NA
-30 0435905;-51 1861738;Av. Protásio Alves, 2302 - Alto Petrópolis, Porto Alegre - RS, Brazil
-30 0255639;-51 2083465;R. Ramiro Barcelos, 910 - Floresta, Porto Alegre - RS, Brazil
-30 0612109;-51 2307852;R. Barão do Cerro Largo, 11 - Menino Deus, Porto Alegre - RS, Brazil
-30 1534982;-51 2003044;Av. Juca Batista, 3316 - Cavalhada, Porto Alegre - RS, Brazil
-30 0133899;-51 1709172;Av. Plínio Brasil Milano, 2343 - Passo d'Areia, Porto Alegre - RS, 90520-003, Brazil
NA;NA;NA
-30 118515;-51 253461;Av. Wenceslau Escobar, 3449 - Tristeza, Porto Alegre - RS, 91900-001, Brazil
-30 0127581;-51 1659626;R. Itapeva, 109 - Passo d'Areia, Porto Alegre - RS, 91350-080, Brazil
-30 0362686;-51 2384553;Rua Washington Luiz, 194 - Centro Histórico, Porto Alegre - RS, 90010-460, Brazil
-30 0315948;-51 2354512;R. dos Andradas, 630 - Centro Histórico, Porto Alegre - RS, 90020-004, Brazil
-30 0302561;-51 2038247;R. Mariante, 288 - Rio Branco, Porto Alegre - RS, 90430-180, Brazil
-30 0325362;-51 2288521;R. Jerônimo Coelho, 63 - Centro Histórico, Porto Alegre - RS, 90010-240, Brazil
-30 019196;-51 210939;Rua Hoffmann, 265 - Floresta, Porto Alegre - RS, 90220-170, Brazil
-30 0254545;-51 2021417;R. 24 de Outubro, 600 - Independência, Porto Alegre - RS, 90510-001, Brazil
-30 0220963;-51 1951042;Av. Nova York, 10 - Auxiliadora, Porto Alegre - RS, 90550-070, Brazil
-30 0299932;-51 2232178;Praça Dom Feliciano, 39 - Centro Histórico, Porto Alegre - RS, Brazil
-30 0642345;-51 2126403;R. Oscár Schneider, 8 - Medianeira, Porto Alegre - RS, 90880-410, Brazil
-30 0527102;-51 1832338;R. Itaboraí, 1090 - Jardim Botânico, Porto Alegre - RS, 90670-030, Brazil
-30 0317272;-51 2347274;R. dos Andradas, 685 - Centro, Porto Alegre - RS, 90020-003, Brazil
-30 0303702;-51 2305036;6 e 11 Andar - R. dos Andradas, 1121 - Centro, Porto Alegre - RS, 90020-015, Brazil
-30 0631844;-51 1711001;R. Dona Firmina, 143 - São José, Porto Alegre - RS, 91520-210, Brazil
-30 035627;-51 190378;R. Barão de Ubá, 454 - Bela Vista, Porto Alegre - RS, 90450-090, Brazil
-30 0311234;-51 2266742;R. Mal. Floriano Peixoto, 270 - Centro, Porto Alegre - RS, 90020-020, Brazil
-30 0227526;-51 1896903;Av. Plínio Brasil Milano, 143 - Higienópolis, Porto Alegre - RS, 90520-002, Brazil
-30 0523926;-51 2157846;R. Barão do Triunfo, 576 - Menino Deus, Porto Alegre - RS, 90130-100, Brazil
-30 0272652;-51 1740959;Av. Dr. Nilo Peçanha, 1700 - Petrópolis, Porto Alegre - RS, Brazil
-30 0288694;-51 2248999;Rua Doutor Flores, 383 - Centro Histórico, Porto Alegre - RS, 90020-123, Brazil
-30 0328584;-51 1779499;Av. Soledade, 569 - Petrópolis, Porto Alegre - RS, Brazil
-30 0534408;-51 182487;Travessa Francisco Fraga Feijó, 267 - Jardim Botânico, Porto Alegre - RS, 90690-210, Brazil
-30 0299556;-51 2052648;Rua Dona Laura, 45 - Rio Branco, Porto Alegre - RS, 90430-091, Brazil
-30 0527102;-51 1832338;R. Itaboraí, 1090 - Jardim Botânico, Porto Alegre - RS, 90670-030, Brazil
-30 0417432;-51 2170964;Av. Venâncio Aires, 301 - Cidade Baixa, Porto Alegre - RS, 90040-191, Brazil
-30 010666;-51 189268;R. Dom Pedro II, 381 - São João, Porto Alegre - RS, 90550-142, Brazil
-30 0302561;-51 2038247;R. Mariante, 288 - Rio Branco, Porto Alegre - RS, 90430-180, Brazil
NA;NA;NA
-30 0289161;-51 2040906;R. Mostardeiro, 291 - Independência, Porto Alegre - RS, Brazil
-30 0207436;-51 2111271;Av. Farrapos, 1096 - Floresta, Porto Alegre - RS, 90220-002, Brazil
-30 0303702;-51 2305036;6 e 11 Andar - R. dos Andradas, 1121 - Centro, Porto Alegre - RS, 90020-015, Brazil
-30 025256;-51 151209;Av. do Forte, 1621 - Vila Ipiranga, Porto Alegre - RS, 91360-001, Brazil
-30 000325;-51 198562;Av. Farrapos, 3737 - Floresta, Porto Alegre - RS, 90220-004, Brazil
-30 0294634;-51 2045172;R. Mariante, 239 - Rio Branco, Porto Alegre - RS, 90430-181, Brazil
-30 038129;-51 179314;Av. Palmeira, 295 - Petrópolis, Porto Alegre - RS, 90470-300, Brazil
-30 0582161;-51 2292508;R. Costa, 30 - Menino Deus, Porto Alegre - RS, 90110-270, Brazil
-30 0290046;-51 2262223;R. Vig. José Inácio, 371 - Centro Histórico, Porto Alegre - RS, 90020-100, Brazil
-30 0281004;-51 2084676;R. Ramiro Barcelos, 1056 - Independência, Porto Alegre - RS, 90035-006, Brazil
-30 0415821;-51 1777565;Av. Protásio Alves, 3149 - Petrópolis, Porto Alegre - RS, Brazil
-30 0399386;-51 2186267;Rua Octávio Corrêa, 84 - Cidade Baixa, Porto Alegre - RS, 90050-120, Brazil
-30 0292387;-51 2236927;R. Sr. dos Passos, 235 - Centro Histórico, Porto Alegre - RS, 90020-180, Brazil
-30 024388;-51 1790749;R. Anita Garibaldi, 1681 - Mont'Serrat, Porto Alegre - RS, 90450-001, Brazil
-30 0126332;-51 1594587;Av. Francisco Trein, 208 - Cristo Redentor, Porto Alegre - RS, Brazil
-30 0382876;-51 1761657;Iguaçu 525/Centro Profissional Carlos Canozzi - Av. Iguaçu, 525 - Petrópolis, Porto Alegre - RS, 90470-430, Brazil
-30 063421;-51 212186;Av. Dr. Carlos Barbosa, 899 - Medianeira, Porto Alegre - RS, 90880-001, Brazil
-30 025426;-51 162292;Av. João Wallig, 1800 - Quiosque 215 - Passo d'Areia, Porto Alegre - RS, 91340-001, Brazil
-30 0281004;-51 2084676;R. Ramiro Barcelos, 1056 - Independência, Porto Alegre - RS, 90035-006, Brazil
-30 025426;-51 162292;Av. João Wallig, 1800 - Quiosque 215 - Passo d'Areia, Porto Alegre - RS, 91340-001, Brazil
-30 029375;-51 20832;R. Ramiro Barcelos, 1188 - Independência, Porto Alegre - RS, 90035-002, Brazil
-30 0608813;-51 1582011;Av. Elías Cirne Lima, 276 - Partenon, Porto Alegre - RS, 91530-310, Brazil
-30 1379077;-51 2208343;Av. Juca Batista, 470 - Ipanema, Porto Alegre - RS, 91770-000, Brazil
-30 0289553;-51 2268245;R. Mal. Floriano Peixoto, 13 - Centro Histórico, Porto Alegre - RS, 90020-061, Brazil
-30 0173585;-51 1895672;Av. Cristóvão Colombo, 3060 - Higienópolis, Porto Alegre - RS, 90560-002, Brazil
-30 0296223;-51 2269603;R. Mal. Floriano Peixoto, 91 - Centro Histórico, Porto Alegre - RS, 90020-061, Brazil
-30 02331;-51 2011118;R. Olávo Barreto Viana, 36 - Moinhos de Vento, Porto Alegre - RS, 90570-070, Brazil
-30 0301062;-51 2244968;Rua Doutor Flores, 330 - Centro Histórico, Porto Alegre - RS, 90020-122, Brazil
-30 0415821;-51 1777565;Av. Protásio Alves, 3149 - Petrópolis, Porto Alegre - RS, Brazil
-30 0353607;-51 2219994;Av. Loureiro da Silva, 2001 - Cidade Baixa, Porto Alegre - RS, 90050-240, Brazil
-29 9982203;-51 1492715;Av. Sertório, 5569 - Jardim Lindoia, Porto Alegre - RS, Brazil
-30 0124846;-51 1656375;R. Itapeva, 80 - Passo d'Areia, Porto Alegre - RS, 91350-080, Brazil
-30 0474866;-51 1701197;R. Aneron Corrêa de Oliveira, 208 - Jardim Botânico, Porto Alegre - RS, 91410-070, Brazil
-30 0279865;-51 222828;Av. Alberto Bins, 392 - Centro Histórico, Porto Alegre - RS, Brazil
-30 039647;-51 213472;Av. Venâncio Aires, 705 - Santana, Porto Alegre - RS, 90040-193, Brazil
-30 0113667;-51 1382418;Av. Professora Paula Soares, 83 - Jardim Itu-Sabará, Porto Alegre - RS, 91220-450, Brazil
-30 0813982;-51 2417385;Av. Capivari, 550 - Cristal, Porto Alegre - RS, 90810-070, Brazil
-30 0179779;-51 2039266;Av. Cristóvão Colombo, 1724 - Floresta, Porto Alegre - RS, 90560-002, Brazil
NA;NA;NA
-30 0181649;-51 1727046;R. Gen. Tasso Fragoso, 65 - Boa Vista, Porto Alegre - RS, 90520-580, Brazil
-30 0112045;-51 1681664;R. Açores, 57 - Passo d'Areia, Porto Alegre - RS, 91030-530, Brazil
-30 0315948;-51 2354512;R. dos Andradas, 630 - Centro Histórico, Porto Alegre - RS, 90020-004, Brazil
-30 0228155;-51 1925269;R. Felipe Neri, 312 - Auxiliadora, Porto Alegre - RS, 90440-150, Brazil
-30 0244329;-51 2053201;R. Barão de Santo Ângelo, 152 - Moinhos de Vento, Porto Alegre - RS, 90570-090, Brazil
-30 0127204;-51 1700055;R. Jari, 89 - Passo d'Areia, Porto Alegre - RS, 91350-170, Brazil
-30 0303702;-51 2305036;6 e 11 Andar - R. dos Andradas, 1121 - Centro, Porto Alegre - RS, 90020-015, Brazil
-30 0415821;-51 1777565;Av. Protásio Alves, 3149 - Petrópolis, Porto Alegre - RS, Brazil
-30 020539;-51 197405;R. Cel. Bordini, 289 - Auxiliadora, Porto Alegre - RS, 90440-000, Brazil
NA;NA;NA
-30 0347443;-51 2089542;R. Bento Figueiredo, 71 - Rio Branco, Porto Alegre - RS, 90035-130, Brazil
-30 0069919;-51 1323714;Av. Eng. Francisco Rodolfo Simch, 355 - Sarandi, Porto Alegre - RS, Brazil
-30 0912803;-51 2195669;R. Frederico Etzberger, 1005 - Nonoai, Porto Alegre - RS, 91720-510, Brazil
-30 0026434;-51 2055871;Av. Cairú, 138 - Navegantes, Porto Alegre - RS, 90230-030, Brazil
-30 038129;-51 179314;Av. Palmeira, 295 - Petrópolis, Porto Alegre - RS, 90470-300, Brazil
-30 0601952;-51 2294405;R. Antenor Lemos, 57 - Menino Deus, Porto Alegre - RS, 90850-100, Brazil
-30 0318362;-51 1794137;Av. Carlos Gomes, 1200 - Auxiliadora, Porto Alegre - RS, 90480-001, Brazil
-30 0233207;-51 1978084;R. 24 de Outubro, 1100 - Moinhos de Vento, Porto Alegre - RS, 90510-001, Brazil
-30 01933;-51 169935;R. José Scutari, 260 - Passo d'Areia, Porto Alegre - RS, 91340-210, Brazil
-30 0372045;-51 2085582;Av. Osvaldo Aranha, 1439 - Bom Fim, Porto Alegre - RS, 90035-191, Brazil
-30 1066717;-51 235524;R. Dr. Pereira Neto, 1721 - Tristeza, Porto Alegre - RS, 91920-530, Brazil
-30 0399881;-51 2084405;Av. Jerônimo de Ornelas, 689 - Santa Cecilia, Porto Alegre - RS, 90040-340, Brazil
-30 0328768;-51 2125965;Rua General João Telles, 379 - Bom Fim, Porto Alegre - RS, 90035-120, Brazil
-30 0300834;-51 2275687;Av. Borges de Medeiros, 410 - Centro Histórico, Porto Alegre - RS, 90020-023, Brazil
-30 0369741;-51 1805022;Av. Lajeado, 991 - Petrópolis, Porto Alegre - RS, 90460-110, Brazil
-30 073222;-51 189143;R. Querubim Costa, 75 - Cel. Aparicio Borges, Porto Alegre - RS, 91710-320, Brazil
-30 036356;-51 2075843;Rua Francisco Ferrer, 453 - Rio Branco, Porto Alegre - RS, Brazil
-30 0258314;-51 204851;R. Padre Chagas, 66 - Moinhos de Vento, Porto Alegre - RS, 90570-080, Brazil
-30 0225241;-51 2087683;Av. Cristóvão Colombo, 1023 - Floresta, Porto Alegre - RS, 90560-004, Brazil
-30 1204341;-51 2067006;Rua Catarino Andreatta, 302 - Vila Nova, Porto Alegre - RS, 91750-040, Brazil
-30 0243987;-51 2023174;R. Padre Chagas, 347 - Moinhos de Vento, Porto Alegre - RS, 90570-080, Brazil
-30 0127398;-51 1526995;Av. do Forte, 240 - Vila Ipiranga, Porto Alegre - RS, Brazil
-30 0194848;-51 2094709;Rua Hoffmann, 414 - Floresta, Porto Alegre - RS, 90220-170, Brazil
-30 012173;-51 1694252;Av. Assis Brasil, 1805 - Higienópolis, Porto Alegre - RS, 90520-002, Brazil
-30 0384383;-51 1753803;Av. Protásio Alves, 3562 - Alto Petrópolis, Porto Alegre - RS, Brazil
-30 0582161;-51 2292508;R. Costa, 30 - Menino Deus, Porto Alegre - RS, 90110-270, Brazil
-30 0126332;-51 1594587;Av. Francisco Trein, 208 - Cristo Redentor, Porto Alegre - RS, Brazil
-30 091198;-51 220555;Av. Nonoai, 1087 - Nonoai, Porto Alegre - RS, 91720-000, Brazil
-30 0357428;-51 2084273;R. Ramiro Barcelos, 1891 - Bom Fim, Porto Alegre - RS, 90035-006, Brazil
-30 042881;-51 1906554;R. Faria Santos, 27 - Petrópolis, Porto Alegre - RS, 90670-150, Brazil
-30 0285137;-51 1680772;Av. Dr. Nilo Peçanha, 2421 - Petrópolis, Porto Alegre - RS, 90470-001, Brazil
-30 1117546;-51 2549183;Av. Wenceslau Escobar, 2666 - Tristeza, Porto Alegre - RS, 91900-001, Brazil
-30 11225;-51 251615;R. Dr. Pereira Neto, 84 - Tristeza, Porto Alegre - RS, 91920-530, Brazil
-30 0302354;-51 2160692;Rua Tomaz Flores, 97 - Independência, Porto Alegre - RS, 90035-201, Brazil
-30 063296;-51 229002;R. Silveiro, 383 - Menino Deus, Porto Alegre - RS, 90850-000, Brazil
-30 019466;-51 197558;R. Cel. Bordini, 165 - Auxiliadora, Porto Alegre - RS, 90440-000, Brazil
-30 0520339;-51 2052258;Praça Jayme Telles, 26 - Santana, Porto Alegre - RS, 90650-100, Brazil
-30 0263411;-51 2222615;Praça Osvaldo Cruz, 15 - conj. 2806 - Centro Histórico, Porto Alegre - RS, 90245-470, Brazil
-30 030213;-51 2161286;Rua Tomaz Flores, 95 - Independência, Porto Alegre - RS, 90035-201, Brazil
-30 0553524;-51 147696;Av. Antônio de Carvalho, 1600 - Agronomia, Porto Alegre - RS, Brazil
-30 0602363;-51 2294788;R. Antenor Lemos, 57 - Menino Deus, Porto Alegre - RS, 90850-100, Brazil
-30 0308141;-51 2283512;R. Gen. Andrade Neves, 155 - Centro Histórico, Porto Alegre - RS, Brazil
-30 119854;-51 196537;Estr. Kanazawa, 46 - Vila Nova, Porto Alegre - RS, 91787-700, Brazil
-30 037956;-51 203408;Av. Protásio Alves, 460 - Rio Branco, Porto Alegre - RS, 90410-004, Brazil
-30 0392464;-51 1971194;R. Santa Cecília, 1891 - Santana, Porto Alegre - RS, 90420-040, Brazil
-30 0026955;-51 1360721;R. Nehita Martins Ramos, 104 - Sarandi, Porto Alegre - RS, 91110-160, Brazil
-30 0575523;-51 2285226;R. Ribeiro Cancela, 20 - Menino Deus, Porto Alegre - RS, 90110-320, Brazil
-30 0279865;-51 222828;Av. Alberto Bins, 392 - Centro Histórico, Porto Alegre - RS, Brazil
-30 0552796;-51 1733766;Av. Ipiranga, 6690 - Jardim Botânico, Porto Alegre - RS, Brazil
-30 040254;-51 211304;R. Viêira de Castro, 285 - Santana, Porto Alegre - RS, 90040-320, Brazil
-30 0163754;-51 1917635;R. São Francisco da California, 133 - Higienópolis, Porto Alegre - RS, 90550-080, Brazil
-30 0247497;-51 1973553;Rua Eudoro Berlink, 50 - Auxiliadora, Porto Alegre - RS, 90450-030, Brazil
-30 0284088;-51 1628733;Av. Dr. Nilo Peçanha, 2825 - Chácara das Pedras, Porto Alegre - RS, 91330-001, Brazil
-30 0284088;-51 1628733;Av. Dr. Nilo Peçanha, 2825 - Chácara das Pedras, Porto Alegre - RS, 91330-001, Brazil
NA;NA;NA
-30 003747;-51 179679;Av. Sertório, 2485 - Santa Maria Goretti, Porto Alegre - RS, 91030-541, Brazil
-29 997922;-51 13004;R. Zeferino Dias, 897 - Sarandi, Porto Alegre - RS, 91130-480, Brazil
-30 0408259;-51 1917309;Rua Jaime Telles, 1 - Petrópolis, Porto Alegre - RS, 90460-030, Brazil
-30 0151478;-51 1958092;Av. Benjamin Constant, 1552 - São João, Porto Alegre - RS, 90550-003, Brazil
-30 041866;-51 2251781;R. João Alfredo, 549 - Cidade Baixa, Porto Alegre - RS, 90050-230, Brazil
NA;NA;NA
-30 0995091;-51 2421199;R. Cel. Massot, 666 - Cristal, Porto Alegre - RS, 91910-530, Brazil
-30 0316531;-51 2286432;R. Riachuelo, 1317 - Centro, Porto Alegre - RS, 90010-241, Brazil
-30 112745;-51 25549;Av. Wenceslau Escobar, 2801 - Tristeza, Porto Alegre - RS, 91900-000, Brazil
-30 0288651;-51 230975;Rua 7 de Setembro, 1020 - Centro Histórico, Porto Alegre - RS, 90010-191, Brazil
-30 0298722;-51 2256283;R. dos Andradas, 1593 - Centro Histórico, Porto Alegre - RS, 90010-140, Brazil
-30 0477333;-51 2121215;Av. Ipiranga, 1801 - Azenha, Porto Alegre - RS, Brazil
-30 0342313;-51 1697929;R. Carlos Huber, 556 - Três Figueiras, Porto Alegre - RS, 91330-150, Brazil
-30 0847365;-51 1883108;R. da Gruta, 145 - Cascata, Porto Alegre - RS, Brazil
-30 0254236;-51 1831659;Av. Carlos Gomes, 403 - Auxiliadora, Porto Alegre - RS, Brazil
-30 025024;-51 2019617;R. 24 de Outubro, 650 - Independência, Porto Alegre - RS, 90510-001, Brazil
-30 048814;-51 208663;Av. Princesa Isabel, 395 - Santana, Porto Alegre - RS, 90620-001, Brazil
-30 0082777;-51 1352493;R. Eng. João Luderitz, 490 - Sarandi, Porto Alegre - RS, 91130-050, Brazil
-30 0299742;-51 2258624;R. Vig. José Inácio, 481 - Centro Histórico, Porto Alegre - RS, 90020-100, Brazil
-30 121979;-51 2122715;Vila Nova, Porto Alegre - RS, 91750-200, Brazil
-30 0505803;-51 2138769;R. Marcílio Dias, 1521 - Menino Deus, Porto Alegre - RS, 90130-001, Brazil
-30 0399255;-51 2252093;R. da República, 602 - Cidade Baixa, Porto Alegre - RS, 90050-320, Brazil
-30 1528547;-51 2194338;Av. da Serraria, 1090 - Espírito Santo, Porto Alegre - RS, 91770-010, Brazil
-30 0187001;-51 1948598;Av. América, 287 - Floresta, Porto Alegre - RS, 90440-020, Brazil
-30 0412632;-51 1813111;Av. Montenegro, 206 - Petrópolis, Porto Alegre - RS, 90460-160, Brazil
-30 010641;-51 160813;Av. Assis Brasil, 2654 - Passo d'Areia, Porto Alegre - RS, Brazil
-30 0101116;-51 1539477;Av. Assis Brasil, 3316 - Jardim Lindoia, Porto Alegre - RS, 91010-004, Brazil
-30 1061436;-51 2540593;R. Vicente Failace, 510 - Tristeza, Porto Alegre - RS, 91900-270, Brazil
-30 1469351;-51 2091106;Av. Juca Batista, 2056 - Aberta Morros, Porto Alegre - RS, 91770-000, Brazil
-30 0325362;-51 2288521;R. Jerônimo Coelho, 63 - Centro Histórico, Porto Alegre - RS, 90010-240, Brazil
-30 0476041;-51 2213402;Av. Getúlio Vargas, 362 - Menino Deus, Porto Alegre - RS, 90150-000, Brazil
-30 0519519;-51 2217846;R. Barão do Triunfo, 12 - Menino Deus, Porto Alegre - RS, 90130-100, Brazil
-30 0434201;-51 2165562;R. Gen. Lima e Silva, 1320 - Centro Histórico, Porto Alegre - RS, 90050-101, Brazil
-29 9802263;-51 1843058;Av. José Aloísio Filho, 939 - Humaitá, Porto Alegre - RS, 90250-180, Brazil
-30 029539;-51 2286519;R. Uruguai, 322 - Centro, Porto Alegre - RS, 90010-140, Brazil
-30 0121865;-51 1673994;Av. Assis Brasil, 2005 - Passo d'Areia, Porto Alegre - RS, Brazil
-30 007818;-51 193005;Av. Brasil, 1457 - Navegantes, Porto Alegre - RS, 90230-060, Brazil
-30 0023233;-51 1921058;Av. Ceará, 737 - São João, Porto Alegre - RS, 90240-512, Brazil
-30 0150141;-51 1871273;R. Dom Pedro II, 903 - São João, Porto Alegre - RS, 90550-141, Brazil
-30 0123918;-51 1972374;Av. São Pedro, 1231 - São Geraldo, Porto Alegre - RS, 90230-122, Brazil
-30 030476;-51 226284;Ed. Fleming - R. Gen. Vitorino, 53 - sala 31 - Centro Histórico, Porto Alegre - RS, 90020-170, Brazil
-30 0262208;-51 212016;Av. Cristóvão Colombo, 545 - Floresta, Porto Alegre - RS, 90560-003, Brazil
NA;NA;NA
-30 0100154;-51 1427721;Av. Baltazar de Oliveira Garcia, 169 - Jardim Itu-Sabará, Porto Alegre - RS, 91130-001, Brazil
-30 0356802;-51 1772892;Av. Carlos Gomes, 1657 - Auxiliadora, Porto Alegre - RS, 90480-001, Brazil
-30 1564692;-51 1978627;Av. Juca Batista, 3661 - Hípica, Porto Alegre - RS, 91770-000, Brazil
-30 0369741;-51 1805022;Av. Lajeado, 991 - Petrópolis, Porto Alegre - RS, 90460-110, Brazil
-30 1021667;-51 2284388;Praça Aratiba, 20 - Cavalhada, Porto Alegre - RS, 91740-170, Brazil
-30 0262208;-51 212016;Av. Cristóvão Colombo, 545 - Floresta, Porto Alegre - RS, 90560-003, Brazil
-30 009786;-51 1519262;Av. Assis Brasil, 3522 - Jardim Lindoia, Porto Alegre - RS, 91010-003, Brazil
-30 0106054;-51 1665123;Av. Carneiro da Fontoura, 104 - Jardim Sao Pedro, Porto Alegre - RS, 91040-170, Brazil
-30 1904834;-51 1324192;Av. Edgar Píres de Castro, 8000 - Campo Novo, Porto Alegre - RS, Brazil
-30 0315948;-51 2354512;R. dos Andradas, 630 - Centro Histórico, Porto Alegre - RS, 90020-004, Brazil
-30 041441;-51 200899;R. João Guimarães, 285 - Santa Cecilia, Porto Alegre - RS, 90630-170, Brazil
-30 0336185;-51 2291532;R. Duque de Caxias, 1205 - Centro Histórico, Porto Alegre - RS, 90010-281, Brazil
-30 0341534;-51 2125749;Rua General João Telles, 524 - Bom Fim, Porto Alegre - RS, 90035-120, Brazil
-30 029678;-51 2293383;R. dos Andradas, 1234 - Centro Histórico, Porto Alegre - RS, 90010-000, Brazil
NA;NA;NA
-30 054507;-51 1682303;R. Prof. Cristiano Fischer, 1680 - Bom Jesus, Porto Alegre - RS, 91410-000, Brazil
-30 0369912;-51 2063228;R. Giordano Bruno, 388 - Rio Branco, Porto Alegre - RS, 90420-150, Brazil
-30 0298722;-51 2256283;R. dos Andradas, 1593 - Centro Histórico, Porto Alegre - RS, 90010-140, Brazil
-30 0104771;-51 1893931;R. Dom Pedro II, 367 - São João, Porto Alegre - RS, 90550-141, Brazil
-30 0292744;-51 2081417;R. Ramiro Barcelos, 1172 - Floresta, Porto Alegre - RS, 90035-004, Brazil
-30 0433779;-51 1870489;Av. Protásio Alves, 2218 - Alto Petrópolis, Porto Alegre - RS, Brazil
-30 0348591;-51 1771258;Av. Carlos Gomes, 1610 - Três Figueiras, Porto Alegre - RS, 90480-001, Brazil
-30 0378717;-51 1726815;Rua Alfa, 103 - Três Figueiras, Porto Alegre - RS, 91330-210, Brazil
-30 06351;-51 153399;Rua Waldomiro Schapke, 799 - Paternon, Porto Alegre - RS, 91530-390, Brazil
-30 0523926;-51 2157846;R. Barão do Triunfo, 576 - Menino Deus, Porto Alegre - RS, 90130-100, Brazil
-30 025024;-51 2019617;R. 24 de Outubro, 650 - Independência, Porto Alegre - RS, 90510-001, Brazil
-30 0315948;-51 2354512;R. dos Andradas, 630 - Centro Histórico, Porto Alegre - RS, 90020-004, Brazil
-30 0249546;-51 2099487;R. Ramiro Barcelos, 678 - Floresta, Porto Alegre - RS, Brazil
-30 0188006;-51 20482;Tv. Carmem, 41 - Floresta, Porto Alegre - RS, 90560-040, Brazil
-30 0202932;-51 2020053;R. Félix da Cunha, 818 - Floresta, Porto Alegre - RS, 90570-001, Brazil
-30 0188909;-51 2060031;Av. Cristóvão Colombo, 1496 - Floresta, Porto Alegre - RS, 90560-002, Brazil
-30 027947;-51 209336;R. André Puente, 448 - Independência, Porto Alegre - RS, 90035-150, Brazil
-30 0151566;-51 2086163;R. Álvaro Chaves, 320 - Floresta, Porto Alegre - RS, 90220-040, Brazil
-30 0386344;-51 1954219;Av. Neusa Goulart Brizola, 430 - Petrópolis, Porto Alegre - RS, 90460-230, Brazil
-30 0151566;-51 2086163;R. Álvaro Chaves, 320 - Floresta, Porto Alegre - RS, 90220-040, Brazil
-30 0181121;-51 1983624;Av. Cristóvão Colombo, 2185 - Floresta, Porto Alegre - RS, 90560-003, Brazil
-30 069041;-51 2058279;Av. Niterói, 693 - Medianeira, Porto Alegre - RS, 90880-270, Brazil
NA;NA;NA
-30 0552796;-51 1733766;Av. Ipiranga, 6690 - Jardim Botânico, Porto Alegre - RS, Brazil
-30 0608474;-51 2211501;R. José de Alencar, 1041 - Menino Deus, Porto Alegre - RS, 90880-480, Brazil
-30 0294425;-51 2036866;Rua Dona Laura, 204 - Rio Branco, Porto Alegre - RS, 90430-090, Brazil
-30 0303702;-51 2305036;6 e 11 Andar - R. dos Andradas, 1121 - Centro, Porto Alegre - RS, 90020-015, Brazil
-30 0108473;-51 1791185;R. Mal. Simeão, 138 - Passo d'Areia, Porto Alegre - RS, 90520-290, Brazil
-30 1199363;-51 2145388;Av. Monte Cristo, 491 - Vila Nova, Porto Alegre - RS, 91750-000, Brazil
-30 0513394;-51 2021894;R. Veador Pôrto, 262 - Santana, Porto Alegre - RS, 90610-200, Brazil
-30 0239695;-51 2008983;R. Olávo Barreto Viana, 104 - Moinhos de Vento, Porto Alegre - RS, 90570-070, Brazil
-30 0414476;-51 2043424;R. Silva Só, 371 - Santa Cecilia, Porto Alegre - RS, 90610-270, Brazil
-30 023635;-51 201863;R. Félix da Cunha, 1215 - Moinhos de Vento, Porto Alegre - RS, 90570-001, Brazil
-30 0279714;-51 2158456;Av. Cristóvão Colombo, 141 - Floresta, Porto Alegre - RS, 90560-003, Brazil
-30 0114901;-51 1693265;Av. Assis Brasil, 1826 - Passo d'Areia, Porto Alegre - RS, 91010-001, Brazil
-30 0368957;-51 1865131;Avenida Nilópolis, 543 - Bela Vista, Porto Alegre - RS, 90460-050, Brazil
-30 1082538;-51 2484041;Av. Otto Niemeyer, 1043 - Tristeza, Porto Alegre - RS, 91910-001, Brazil
-30 0552796;-51 1733766;Av. Ipiranga, 6690 - Jardim Botânico, Porto Alegre - RS, Brazil
-30 0281341;-51 2301164;R. Siqueira Campos, 1170 - Centro Histórico, Porto Alegre - RS, Brazil
-30 0230898;-51 2100487;Av. Cristóvão Colombo, 900 - Floresta, Porto Alegre - RS, 90560-001, Brazil
-30 0319715;-51 2144531;R. Santo Antonio, 767 - Floresta, Porto Alegre - RS, 90220-011, Brazil
-30 0172907;-51 1893105;Av. Cristóvão Colombo, 3084 - Higienópolis, Porto Alegre - RS, Brazil
-30 0552796;-51 1733766;Av. Ipiranga, 6690 - Jardim Botânico, Porto Alegre - RS, Brazil
-30 0317272;-51 2347274;R. dos Andradas, 685 - Centro, Porto Alegre - RS, 90020-003, Brazil
